매장명,주소,전화번호,위도/경도
원그로브점,"서울시 강서구 공항대로 165, 원그로브 쇼핑몰 2층 E215호",02-2653-8577,"['126.824695969186', '37.5608751008131']"
마곡케이스퀘어점,"서울특별시 강서구 마곡중앙로 105-7 (케이스퀘어) 마곡 TOWER 1, 1층 D-101호",02-3662-9805,"['126.826076887806', '37.5629234842805']"
마포경찰공제회점,"서울시 마포구 마포대로 78 (도화동 566), 경찰공제회 자람빌딩 1층",02-704-6591,"['126.949787848373', '37.5418967410602']"
경복궁역3번출구점,서울특별시 종로구 자하문로 10,02-557-0510,"['126.972649439494', '37.5769954696057']"
강남포스코센터점,서울 강남구 삼성로85길 11 생활편의시설동 B05호,02-541-7404,"['127.056186481052', '37.5045993053356']"
하나은행본관로비점,서울특별시 중구 을지로 35 하나은행본점 1F,02-592-8861,"['126.981865819602', '37.5664918220199']"
브라이튼여의도점,"서울특별시 영등포구 국제금융로 39, 앵커원 1층",02-952-9577,"['126.929338616058', '37.5242915298626']"
역삼KSA한국표준협회교육센터점,서울시 강남구 역삼동 738번지 1층,02-488-5912,"['127.03648868939', '37.4985735366506']"
삼성본관빌딩점,서울특별시 중구 세종대로 67 삼성 본관빌딩 1층 후문 로비 일부,02-720-5561,"['126.975593964647', '37.5623085377513']"
고대안암병원신관점,서울특별시 성북구 고려대로 73,02-544-6823,"['127.026357234716', '37.5871109699535']"
압구정로데오2호점,서울특별시 강남구 선릉로 157길 22 2층,02-3444-9973,"['127.038182970834', '37.5263370842465']"
종로YBM별관점,서울시 종로구 종로 98 1층,02-402-3571,"['126.988409831075', '37.5698794886241']"
성균관대법학관점,서울시 종로구 성균관로 25-2 성균관대학교 법학관 B2,02-740-1958,"['126.993115116294', '37.5872284082508']"
하나금융명동사옥점,서울시 중구 을지로 66 하나은행 명동사옥 1층,02-539-5174,"['126.985010733916', '37.5651546444578']"
용산아이파크몰점,"서울시 용산구 한강대로 23길 55, 아이파크몰 테이스트파크 7층",02-2012-0731,"['126.964741503485', '37.5297718014452']"
상암SBS프리즘타워점,서울 마포구 상암산로 82 SBS 프리즘 타워 1층 로비,02-562-9605,"['126.892773992481', '37.5797159011058']"
명동거리점,서울시 중구 명동 10길 52 명동역 신한은행 사옥 1층,02-522-7158,"['126.985707093498', '37.5614599246316']"
혜화역점,서울시 종로구 대명길 5,02-745-9471,"['127.001154914843', '37.5835220981147']"
서초중앙로점,"서울시 서초구 서초중앙로 209, 해성빌딩 1층",02-537-2992,"['127.011825492621', '37.5003183328671']"
청계천을지로점,서울 중구 남대문로10길 33 1F,02-723-1771,"['126.984507517226', '37.5678035976862']"
수서역원방빌딩점,서울 강남구 광평로 51길 6-23 원방테크사옥 1층,02-3473-3830,"['127.104115178497', '37.4887766507842']"
KB국민은행노원역점,"서울시 노원구 동일로 1405, 1층 일부",02-930-9486,"['127.06017787506', '37.6538310278932']"
이태원몬드리안호텔점,서울시 용산구 장문로 23 몬드리안 서울 이태원호텔 101호,02-3775-0548,"['126.993107501389', '37.5285655568387']"
논현역8번출구점,서울시 서초구 강남대로 563 페이토플라자 1층 ( 잠원동 37-1 ),02-755-3301,"['127.020431538347', '37.5119461613615']"
선릉KSA한국표준협회점,서울시 강남구 테헤란로69길 5 DT센터점 1층,02-3141-7948,"['127.052402933477', '37.5061948324582']"
하나은행을지로본점,서울시 중구 을지로 35 하나은행 을지로본점 24F 내 스마트워크센터,02-338-9179,"['126.98186695161147', '37.56649137170198']"
삼성루첸타워점,서울 강남구 대치동 943-2 루첸타워 1층 로비,02-994-8879,"['127.0587759480173', '37.50706256458109']"
선정릉역점,서울시 강남구 봉은사로 331 SH빌딩점 B1-1층,02-2058-3028,"['127.042972144359', '37.5102810924204']"
서초동점,서울특별시 서초구 반포대로70,02-3665-9507,"['127.01053356053066', '37.48669594836945']"
교대법원점,"서울 서초구 서초중앙로 156, 1층",02- 3664-7716,"['127.01353830115815', '37.49563363637424']"
잠실향군타워점,서울특별시 송파구 올림픽로35길 123 1층,02-412-8812,"['127.1012240086', '37.5165772506']"
종로센트로폴리스점,"서울시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,6",02-6370-5845,"['126.9836587886', '37.5714975647']"
종로구청앞점,서울특별시 종로구 종로3길 34,02-739-6151,"['126.9794794281', '37.5718753301']"
