Year,Month,가솔린,전기
2020,1,46443,691
2020,2,36434,3900
2020,3,68540,7282
2020,4,66675,3924
2020,5,71679,2453
2020,6,85966,4934
2020,7,67971,2853
2020,8,46632,4108
2020,9,55929,6859
2020,10,55426,3997
2020,11,62309,3432
2020,12,62260,2315
2021,1,57011,335
2021,2,47491,4327
2021,3,65649,9312
2021,4,68377,4922
2021,5,61015,9279
2021,6,63623,13374
2021,7,57175,7189
2021,8,45313,11268
2021,9,40102,11016
2021,10,49769,11323
2021,11,56680,10682
2021,12,61700,5801
2022,1,47309,1339
2022,2,45266,10497
2022,3,54037,12536
2022,4,56108,12171
2022,5,53677,14647
2022,6,56550,11995
2022,7,56571,13688
2022,8,47515,13944
2022,9,48995,18143
2022,10,51140,16004
2022,11,57481,14282
2022,12,68756,4539
2023,1,54183,167
2023,2,58987,17439
2023,3,67404,16475
2023,4,62938,13160
2023,5,62882,12082
2023,6,65335,12504
2023,7,53844,11401
2023,8,53827,7193
2023,9,53652,10841
2023,10,53374,13445
2023,11,58451,13825
2023,12,52611,7960
2024,1,51368,786
2024,2,47136,2860
2024,3,54003,18241
2024,4,56038,9168
2024,5,55233,11872
2024,6,51266,13262
2024,7,50728,13353
2024,8,47132,13848
2024,9,45968,10688
2024,10,53053,10388
2024,11,52253,14243
2024,12,53281,4394
2025,1,46626,1034
2025,2,48776,12864
2025,3,52748,15589
2025,4,53496,13959
2025,5,44868,18366
2025,6,48997,17491
2025,7,42624,22397
2025,8,46391,22551
2025,9,52562,26020
